"","17-Sep-2021 13:20:28","","","US","Washington","North America","United States of America"
"","17-Sep-2021 13:20:28","","","UK","Kiev","Europe","Ukraine"
"","17-Sep-2021 13:20:28","","","FR","Paris","Europe","France"
"","17-Sep-2021 13:20:28","","","EG","Cairo","Africa","Egypt"
"","17-Sep-2021 13:20:28","","","TR","Ankara","Asia","Turkey"
"","17-Sep-2021 13:20:29","","","IN","Port Randallbury","Uruguay","Burkina Faso"
"","17-Sep-2021 13:20:29","","","JP","Schambergerport","Switzerland","Madagascar"
"","17-Sep-2021 13:20:29","","","TN","Beierfort","Guinea","Algeria"
"","17-Sep-2021 13:20:29","","","ML","Port Alstad","Bosnia and Herzegovina","Hungary"
"","17-Sep-2021 13:20:29","","","ST","Nadiaborough","Algeria","Montenegro"
"","17-Sep-2021 13:20:29","","","SV","Kubborough","Holy See (Vatican City State)","Chile"
"","17-Sep-2021 13:20:29","","","PN","New Irmaside","Pitcairn Islands","Sudan"
"","17-Sep-2021 13:20:29","","","DJ","North Margeport","Republic of Korea","Tonga"
"","17-Sep-2021 13:20:29","","","NE","Lake Collin","Martinique","Venezuela"
"","17-Sep-2021 13:20:29","","","DZ","New Martin","Philippines","Bulgaria"
"","17-Sep-2021 13:20:29","","","JE","O'Connershire","Turkey","Netherlands Antilles"
"","17-Sep-2021 13:20:29","","","BQ","West Millieland","Tuvalu","El Salvador"
"","17-Sep-2021 13:20:29","","","LU","New Jewellfurt","Ghana","Tunisia"
"","17-Sep-2021 13:20:29","","","CM","West Caitlyn","Mayotte","Norfolk Island"
"","17-Sep-2021 13:20:29","","","GW","Priceburgh","Bermuda","Grenada"
"","17-Sep-2021 13:20:29","","","NL","Wildermanbury","American Samoa","Belgium"
"","17-Sep-2021 13:20:29","","","CI","North Gabriellamouth","Cuba","French Polynesia"
"","17-Sep-2021 13:20:29","","","JE","Port Javon","Egypt","Wallis and Futuna"
"","17-Sep-2021 13:20:29","","","IT","Kaelastad","Swaziland","Cook Islands"
"","17-Sep-2021 13:20:29","","","JP","Mikaylafort","Gambia","Brazil"
